timestamp,temperature,humidity,light,pressure
2024-02-26 13:35:32.321673,23.5,35.2,76.68,991.09
2024-02-26 13:35:35.373917,22.74,40.66,78.99,990.03
2024-02-26 13:35:38.436878,23.37,42.8,77.23,990.82
2024-02-26 13:35:41.484101,22.85,41.56,78.62,991.93
2024-02-26 13:35:44.533431,22.74,35.17,79.84,994.06
2024-02-26 13:35:47.580655,23.37,35.02,75.22,993.79
2024-02-26 13:35:50.630734,22.6,43.03,79.55,993.42
2024-02-26 13:35:53.676571,23.43,35.17,78.24,991.17
2024-02-26 13:35:56.729078,23.03,39.66,78.76,991.35
2024-02-26 13:35:59.774317,23.23,39.88,78.05,992.86
2024-02-26 13:36:02.819263,23.95,39.49,75.55,990.13
2024-02-26 13:36:05.868560,22.72,35.69,77.06,992.63
2024-02-26 13:36:08.915365,23.41,38.79,75.37,991.83
2024-02-26 13:36:11.961942,23.25,43.62,78.88,994.28
2024-02-26 13:36:15.016391,22.8,36.4,77.44,990.73
2024-02-26 13:36:18.062106,23.02,35.06,76.07,991.48
2024-02-26 13:36:21.121442,22.24,39.35,79.55,991.06
2024-02-26 13:36:24.171901,22.18,37.0,75.03,993.38
2024-02-26 13:36:27.221435,22.04,38.28,79.5,993.82
2024-02-26 13:36:30.267649,22.17,37.43,76.89,994.39
2024-02-26 13:36:33.315978,22.45,36.5,76.93,993.73
2024-02-26 13:36:36.374522,22.46,44.45,78.25,993.72
2024-02-26 13:36:39.422069,23.72,43.53,76.06,993.25
2024-02-26 13:36:42.460572,22.33,38.29,75.97,992.07
2024-02-26 13:36:45.522062,22.26,42.26,76.59,992.09
2024-02-26 13:36:48.576680,23.63,38.14,76.7,994.32
2024-02-26 13:36:51.619666,23.52,42.75,76.26,990.81
2024-02-26 13:36:54.689117,22.23,44.09,77.2,990.2
2024-02-26 13:36:57.750813,23.45,39.22,77.78,990.63
2024-02-26 13:37:00.800070,23.68,36.66,75.99,991.71
2024-02-26 13:37:03.851284,22.35,42.24,79.6,991.36
2024-02-26 13:37:06.889164,22.21,38.73,77.92,993.92
2024-02-26 13:37:09.956793,22.6,39.04,78.02,994.36
2024-02-26 13:37:13.005056,23.46,36.93,77.29,992.12
2024-02-26 13:37:16.060522,23.74,42.96,79.71,994.35
2024-02-26 13:37:19.120792,22.87,39.8,78.65,994.67
2024-02-26 13:37:22.171556,22.02,44.49,78.04,993.74
2024-02-26 13:37:25.224228,22.81,39.8,75.6,992.43
2024-02-26 13:37:28.313872,23.12,41.4,77.23,991.81
2024-02-26 13:37:31.364596,22.27,43.47,78.91,991.31
2024-02-26 13:37:34.413527,23.38,43.12,76.47,990.6
2024-02-26 13:37:37.485709,22.17,43.11,75.53,991.05
2024-02-26 13:37:40.533779,23.77,37.63,79.27,992.3
2024-02-26 13:37:43.585336,22.61,36.62,77.78,991.7
2024-02-26 13:37:46.726940,22.74,38.03,78.75,990.88
2024-02-26 13:37:49.858466,22.6,43.97,76.71,994.24
2024-02-26 13:37:52.914946,23.67,39.39,78.91,992.93
2024-02-26 13:37:55.959582,22.74,37.69,78.78,990.45
2024-02-26 13:37:59.016094,22.09,44.0,75.99,994.89
2024-02-26 13:38:02.098655,23.75,41.74,79.98,991.98
2024-02-26 13:38:05.151103,23.14,42.66,79.74,993.5
2024-02-26 13:38:08.211364,22.6,35.3,75.01,991.7
2024-02-26 13:38:11.263539,23.65,40.97,75.18,990.13
2024-02-26 13:38:14.319643,22.43,38.1,76.21,993.09
2024-02-26 13:38:17.371156,23.01,43.6,75.53,991.15
2024-02-26 13:38:20.415426,22.59,42.89,78.52,990.5
2024-02-26 13:38:23.470743,22.31,40.46,79.21,992.58
2024-02-26 13:38:26.523438,23.36,43.9,76.5,993.67
2024-02-26 13:38:29.576243,23.53,38.58,78.51,991.36
2024-02-26 13:38:32.625013,22.56,38.19,78.14,992.63
2024-02-26 13:38:35.678776,22.59,39.54,76.58,990.69
2024-02-26 13:38:38.727315,23.84,39.55,79.88,991.0
2024-02-26 13:38:41.783455,23.43,38.23,75.24,994.66
2024-02-26 13:38:44.853849,23.09,37.86,75.59,991.57
2024-02-26 13:38:47.904650,23.61,42.73,76.72,993.6
2024-02-26 13:38:50.963621,23.13,37.81,79.29,992.26
2024-02-26 13:38:54.014849,22.2,42.56,76.9,994.47
2024-02-26 13:38:57.074672,23.37,40.42,77.53,992.2
2024-02-26 13:39:00.131506,23.92,40.79,77.47,990.89
2024-02-26 13:39:03.186743,23.28,43.09,78.24,991.04
2024-02-26 13:39:06.247068,23.15,44.22,79.19,991.83
2024-02-26 13:39:09.308999,23.19,36.8,75.83,992.59
2024-02-26 13:39:12.369554,22.6,36.89,75.24,992.71
2024-02-26 13:39:15.431313,23.1,39.46,77.46,993.86
2024-02-26 13:39:18.483292,23.13,36.58,79.67,991.3
2024-02-26 13:39:21.538662,22.24,41.72,78.56,992.36
2024-02-26 13:39:24.592534,23.86,43.19,77.48,993.7
2024-02-26 13:39:27.647041,23.81,44.72,79.34,994.59
2024-02-26 13:39:30.697072,23.48,43.54,79.17,994.38
2024-02-26 13:39:33.744536,23.39,44.2,79.37,990.96
2024-02-26 13:39:36.807547,23.17,44.6,78.76,994.48
2024-02-26 13:39:39.869328,22.96,36.02,78.05,992.41
2024-02-26 13:39:42.926276,22.38,38.67,78.54,991.2
2024-02-26 13:39:45.983124,23.71,35.22,76.71,994.0
2024-02-26 13:39:49.039060,22.96,44.26,79.24,992.28
2024-02-26 13:39:52.097265,22.71,43.06,78.79,993.76
2024-02-26 13:39:55.167226,22.41,39.23,77.79,993.07
2024-02-26 13:39:58.225659,22.03,38.32,79.55,993.66
2024-02-26 13:40:01.281099,22.48,41.38,75.74,994.48
2024-02-26 13:40:04.344790,23.87,36.15,75.43,993.79
2024-02-26 13:40:07.411157,23.1,44.06,75.04,993.99
2024-02-26 13:40:10.474431,23.59,38.98,75.56,990.94
2024-02-26 13:40:13.562575,23.89,44.79,77.3,994.2
2024-02-26 13:40:16.654357,23.26,41.74,79.92,994.25
2024-02-26 13:40:19.708279,22.27,35.9,77.9,994.78
2024-02-26 13:40:22.764904,22.38,44.06,78.91,992.82
2024-02-26 13:40:25.832954,22.72,35.24,79.48,992.09
2024-02-26 13:40:28.890091,23.45,41.31,78.49,993.63
2024-02-26 13:40:31.949299,23.79,39.08,79.11,991.28
2024-02-26 13:40:35.010001,22.53,41.83,75.78,994.57
2024-02-26 13:40:38.062375,22.16,38.71,79.39,993.26
2024-02-26 13:40:41.114234,22.85,42.64,76.51,991.27
2024-02-26 13:40:44.169740,23.94,35.87,75.75,992.56
2024-02-26 13:40:47.227253,23.61,38.43,75.9,994.17
2024-02-26 13:40:50.278689,23.54,43.04,77.41,990.33
2024-02-26 13:40:53.332873,23.78,41.3,76.09,993.26
2024-02-26 13:40:56.386983,22.15,40.97,78.87,993.3
2024-02-26 13:40:59.441702,23.27,41.87,78.18,993.41
2024-02-26 13:41:02.496653,23.4,37.37,76.64,991.29
2024-02-26 13:41:05.554644,22.83,35.9,75.53,991.88
2024-02-26 13:41:08.629106,22.04,43.12,79.23,992.11
2024-02-26 13:41:11.701842,23.99,39.07,75.1,993.14
2024-02-26 13:41:14.753469,23.97,43.45,78.52,993.73
2024-02-26 13:41:17.803206,23.9,44.97,76.67,992.06
2024-02-26 13:41:20.872669,23.37,42.84,77.81,994.75
2024-02-26 13:41:23.925379,23.85,39.22,79.15,991.52
2024-02-26 13:41:26.980626,23.56,38.43,78.32,993.14
2024-02-26 13:41:30.031420,23.1,39.23,78.72,993.04
2024-02-26 13:41:33.103966,22.25,43.34,75.98,993.99
2024-02-26 13:41:36.157667,23.59,37.21,79.27,992.6
2024-02-26 13:41:39.215062,23.29,36.52,78.58,991.17
2024-02-26 13:41:42.270523,23.81,35.87,77.21,994.04
2024-02-26 13:41:45.323254,22.71,40.37,75.5,991.9
2024-02-26 13:41:48.382771,23.6,42.78,75.36,992.69
2024-02-26 13:41:51.435739,22.91,35.79,76.7,993.78
2024-02-26 13:41:54.492485,23.78,43.56,76.17,990.8
2024-02-26 13:41:57.547877,23.58,39.4,77.66,992.5
2024-02-26 13:42:00.601266,22.02,44.36,79.44,994.69
2024-02-26 13:42:03.666188,22.68,43.95,75.48,993.54
